,,,,,,,,,,,,,表 1	男子 100 米跑考试评分标准,,,,,,,,,,,,,,,
score,value
,30,,,,02:58.00,,,,03:01.00,,,,02:57.00,,,03:06.00,,,,03:06.00,03:16.00,,,02:51.00,,,,03:00.00
,29,,,,03:01.00,,,,03:04.00,,,,03:00.00,,,03:09.00,,,,03:09.00,03:19.00,,,02:54.00,,,,03:03.00
,28,,,,03:04.00,,,,03:07.00,,,,03:03.00,,,03:12.00,,,,03:12.00,03:23.00,,,02:57.00,,,,03:06.00
,27,,,,03:07.00,,,,03:10.00,,,,03:06.00,,,03:15.00,,,,03:15.00,03:27.00,,,03:00.00,,,,03:09.00
,26,,,,03:10.00,,,,03:13.00,,,,03:09.00,,,03:18.00,,,,03:19.00,03:31.00,,,03:04.00,,,,03:12.00
,25,,,,03:13.00,,,,03:16.00,,,,03:12.00,,,03:21.00,,,,03:23.00,03:35.00,,,03:08.00,,,,03:15.00
,24,,,,03:17.00,,,,03:20.00,,,,03:16.00,,,03:23.00,,,,03:27.00,03:39.00,,,03:12.00,,,,03:18.00
,23,,,,03:21.00,,,,03:24.00,,,,03:20.00,,,03:26.00,,,,03:31.00,03:43.00,,,03:16.00,,,,03:21.00
,22,,,,03:25.00,,,,03:28.00,,,,03:24.00,,,03:30.00,,,,03:35.00,03:47.00,,,03:20.00,,,,03:25.00
,21,,,,03:29.00,,,,03:32.00,,,,03:28.00,,,03:34.00,,,,03:39.00,03:51.00,,,03:24.00,,,,03:29.00
,20,,,,03:33.00,,,,03:36.00,,,,03:32.00,,,03:38.00,,,,03:43.00,03:55.00,,,03:28.00,,,,03:33.00
,19,,,,03:37.00,,,,03:40.00,,,,03:36.00,,,03:42.00,,,,03:47.00,03:59.00,,,03:32.00,,,,03:37.00
,18,,,,03:41.00,,,,03:44.00,,,,03:40.00,,,03:46.00,,,,03:51.00,04:03.00,,,03:36.00,,,,03:41.00
,17,,,,03:45.00,,,,03:48.00,,,,03:44.00,,,03:50.00,,,,03:55.00,04:07.00,,,03:40.00,,,,03:45.00
,16,,,,03:49.00,,,,03:52.00,,,,03:48.00,,,03:54.00,,,,03:59.00,04:11.00,,,03:44.00,,,,03:49.00
,15,,,,03:53.00,,,,03:56.00,,,,03:52.00,,,03:58.00,,,,04:03.00,04:15.00,,,03:48.00,,,,03:53.00
,14,,,,03:57.00,,,,04:00.00,,,,03:56.00,,,04:02.00,,,,04:07.00,04:19.00,,,03:52.00,,,,03:57.00
,13,,,,04:01.00,,,,04:04.00,,,,04:00.00,,,04:06.00,,,,04:11.00,04:23.00,,,03:56.00,,,,04:01.00
,12,,,,04:05.00,,,,04:08.00,,,,04:04.00,,,04:10.00,,,,04:15.00,04:27.00,,,04:00.00,,,,04:05.00
,11,,,,04:09.00,,,,04:12.00,,,,04:08.00,,,04:14.00,,,,04:19.00,04:31.00,,,04:04.00,,,,04:09.00
,10,,,,04:13.00,,,,04:16.00,,,,04:12.00,,,04:18.00,,,,04:23.00,04:35.00,,,04:08.00,,,,04:13.00
,9,,,,04:17.00,,,,04:20.00,,,,04:16.00,,,04:22.00,,,,04:27.00,04:39.00,,,04:12.00,,,,04:17.00
,8,,,,04:21.00,,,,04:24.00,,,,04:20.00,,,04:26.00,,,,04:31.00,04:42.00,,,04:16.00,,,,04:21.00
,7,,,,04:25.00,,,,04:28.00,,,,04:24.00,,,04:30.00,,,,04:35.00,04:46.00,,,04:20.00,,,,04:25.00
,6,,,,04:29.00,,,,04:32.00,,,,04:28.00,,,04:34.00,,,,04:39.00,04:50.00,,,04:24.00,,,,04:29.00
,5,,,,04:33.00,,,,04:36.00,,,,04:32.00,,,04:38.00,,,,04:42.00,04:54.00,,,04:28.00,,,,04:33.00
,4,,,,04:37.00,,,,04:40.00,,,,04:36.00,,,04:42.00,,,,04:45.00,04:58.00,,,04:32.00,,,,04:37.00
,3,,,,04:41.00,,,,04:44.00,,,,04:40.00,,,04:46.00,,,,04:49.00,05:02.00,,,04:36.00,,,,04:41.00
,2,,,,04:45.00,,,,04:48.00,,,,04:44.00,,,04:50.00,,,,04:52.00,05:06.00,,,04:40.00,,,,04:45.00
,1,,,,04:48.00,,,,04:52.00,,,,04:48.00,,,04:54.00,,,,04:56.00,05:10.00,,,04:44.00,,,,04:49.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,表 20	100 米游泳考试评分标准（50 米池）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
