sequence_number,score,value
1,100.00,40.00
2,99.96,40.01
3,99.92,40.02
4,99.88,40.03
5,99.84,40.04
6,99.80,40.05
7,99.76,40.06
8,99.72,40.07
9,99.68,40.08
10,99.64,40.09
11,99.60,40.10
12,99.56,40.11
13,99.52,40.12
14,99.48,40.13
15,99.44,40.14
16,99.40,40.15
17,99.36,40.16
18,99.32,40.17
19,99.28,40.18
20,99.24,40.19
21,99.20,40.20
22,99.16,40.21
23,99.12,40.22
24,99.08,40.23
25,99.04,40.24
26,99.00,40.25
27,98.96,40.26
28,98.92,40.27
29,98.88,40.28
30,98.84,40.29
31,98.80,40.30
32,98.76,40.31
33,98.72,40.32
34,98.68,40.33
35,98.64,40.34
36,98.60,40.35
37,98.56,40.36
38,98.52,40.37
39,98.48,40.38
40,98.44,40.39
41,98.40,40.40
42,98.36,40.41
43,98.32,40.42
44,98.28,40.43
45,98.24,40.44
46,98.20,40.45
47,98.16,40.46
48,98.12,40.47
49,98.08,40.48
50,98.04,40.49
51,98.00,40.50
52,97.96,40.51
53,97.92,40.52
54,97.88,40.53
55,97.84,40.54
56,97.80,40.55
57,97.76,40.56
58,97.72,40.57
59,97.68,40.58
60,97.64,40.59
61,97.60,40.60
62,97.56,40.61
63,97.52,40.62
64,97.48,40.63
65,97.44,40.64
66,97.40,40.65
67,97.36,40.66
68,97.32,40.67
69,97.28,40.68
70,97.24,40.69
71,97.20,40.70
72,97.16,40.71
73,97.12,40.72
74,97.08,40.73
75,97.04,40.74
76,97.00,40.75
77,96.96,40.76
78,96.92,40.77
79,96.88,40.78
80,96.84,40.79
81,96.80,40.80
82,96.76,40.81
83,96.72,40.82
84,96.68,40.83
85,96.64,40.84
86,96.60,40.85
87,96.56,40.86
88,96.52,40.87
89,96.48,40.88
90,96.44,40.89
91,96.40,40.90
92,96.36,40.91
93,96.32,40.92
94,96.28,40.93
95,96.24,40.94
96,96.20,40.95
97,96.16,40.96
98,96.12,40.97
99,96.08,40.98
100,96.04,40.99
101,96.00,41.00
102,95.96,41.01
103,95.92,41.02
104,95.88,41.03
105,95.84,41.04
106,95.80,41.05
107,95.76,41.06
108,95.72,41.07
109,95.68,41.08
110,95.64,41.09
111,95.60,41.10
112,95.56,41.11
113,95.52,41.12
114,95.48,41.13
115,95.44,41.14
116,95.40,41.15
117,95.36,41.16
118,95.32,41.17
119,95.28,41.18
120,95.24,41.19
121,95.20,41.20
122,95.16,41.21
123,95.12,41.22
124,95.08,41.23
125,95.04,41.24
126,95.00,41.25
127,94.96,41.26
128,94.92,41.27
129,94.88,41.28
130,94.84,41.29
131,94.80,41.30
132,94.76,41.31
133,94.72,41.32
134,94.68,41.33
135,94.64,41.34
136,94.60,41.35
137,94.56,41.36
138,94.52,41.37
139,94.48,41.38
140,94.44,41.39
141,94.40,41.40
142,94.36,41.41
143,94.32,41.42
144,94.28,41.43
145,94.24,41.44
146,94.20,41.45
147,94.16,41.46
148,94.12,41.47
149,94.08,41.48
150,94.04,41.49
151,94.00,41.50
152,93.96,41.51
153,93.92,41.52
154,93.88,41.53
155,93.84,41.54
156,93.80,41.55
157,93.76,41.56
158,93.72,41.57
159,93.68,41.58
160,93.64,41.59
161,93.60,41.60
162,93.56,41.61
163,93.52,41.62
164,93.48,41.63
165,93.44,41.64
166,93.40,41.65
167,93.36,41.66
168,93.32,41.67
169,93.28,41.68
170,93.24,41.69
171,93.20,41.70
172,93.16,41.71
173,93.12,41.72
174,93.08,41.73
175,93.04,41.74
176,93.00,41.75
177,92.96,41.76
178,92.92,41.77
179,92.88,41.78
180,92.84,41.79
181,92.80,41.80
182,92.76,41.81
183,92.72,41.82
184,92.68,41.83
185,92.64,41.84
186,92.60,41.85
187,92.56,41.86
188,92.52,41.87
189,92.48,41.88
190,92.44,41.89
191,92.40,41.90
192,92.36,41.91
193,92.32,41.92
194,92.28,41.93
195,92.24,41.94
196,92.20,41.95
197,92.16,41.96
198,92.12,41.97
199,92.08,41.98
200,92.04,41.99
201,92.00,42.00
202,91.96,42.01
203,91.92,42.02
204,91.88,42.03
205,91.84,42.04
206,91.80,42.05
207,91.76,42.06
208,91.72,42.07
209,91.68,42.08
210,91.64,42.09
211,91.60,42.10
212,91.56,42.11
213,91.52,42.12
214,91.48,42.13
215,91.44,42.14
216,91.40,42.15
217,91.36,42.16
218,91.32,42.17
219,91.28,42.18
220,91.24,42.19
221,91.20,42.20
222,91.16,42.21
223,91.12,42.22
224,91.08,42.23
225,91.04,42.24
226,91.00,42.25
227,90.96,42.26
228,90.92,42.27
229,90.88,42.28
230,90.84,42.29
231,90.80,42.30
232,90.76,42.31
233,90.72,42.32
234,90.68,42.33
235,90.64,42.34
236,90.60,42.35
237,90.56,42.36
238,90.52,42.37
239,90.48,42.38
240,90.44,42.39
241,90.40,42.40
242,90.36,42.41
243,90.32,42.42
244,90.28,42.43
245,90.24,42.44
246,90.20,42.45
247,90.16,42.46
248,90.12,42.47
249,90.08,42.48
250,90.04,42.49
251,90.00,42.50
252,89.96,42.51
253,89.92,42.52
254,89.88,42.53
255,89.84,42.54
256,89.80,42.55
257,89.76,42.56
258,89.72,42.57
259,89.68,42.58
260,89.64,42.59
261,89.60,42.60
262,89.56,42.61
263,89.52,42.62
264,89.48,42.63
265,89.44,42.64
266,89.40,42.65
267,89.36,42.66
268,89.32,42.67
269,89.28,42.68
270,89.24,42.69
271,89.20,42.70
272,89.16,42.71
273,89.12,42.72
274,89.08,42.73
275,89.04,42.74
276,89.00,42.75
277,88.96,42.76
278,88.92,42.77
279,88.88,42.78
280,88.84,42.79
281,88.80,42.80
282,88.76,42.81
283,88.72,42.82
284,88.68,42.83
285,88.64,42.84
286,88.60,42.85
287,88.56,42.86
288,88.52,42.87
289,88.48,42.88
290,88.44,42.89
291,88.40,42.90
292,88.36,42.91
293,88.32,42.92
294,88.28,42.93
295,88.24,42.94
296,88.20,42.95
297,88.16,42.96
298,88.12,42.97
299,88.08,42.98
300,88.04,42.99
301,88.00,43.00
302,87.96,43.01
303,87.92,43.02
304,87.88,43.03
305,87.84,43.04
306,87.80,43.05
307,87.76,43.06
308,87.72,43.07
309,87.68,43.08
310,87.64,43.09
311,87.60,43.10
312,87.56,43.11
313,87.52,43.12
314,87.48,43.13
315,87.44,43.14
316,87.40,43.15
317,87.36,43.16
318,87.32,43.17
319,87.28,43.18
320,87.24,43.19
321,87.20,43.20
322,87.16,43.21
323,87.12,43.22
324,87.08,43.23
325,87.04,43.24
326,87.00,43.25
327,86.96,43.26
328,86.92,43.27
329,86.88,43.28
330,86.84,43.29
331,86.80,43.30
332,86.76,43.31
333,86.72,43.32
334,86.68,43.33
335,86.64,43.34
336,86.60,43.35
337,86.56,43.36
338,86.52,43.37
339,86.48,43.38
340,86.44,43.39
341,86.40,43.40
342,86.36,43.41
343,86.32,43.42
344,86.28,43.43
345,86.24,43.44
346,86.20,43.45
347,86.16,43.46
348,86.12,43.47
349,86.08,43.48
350,86.04,43.49
351,86.00,43.50
352,85.96,43.51
353,85.92,43.52
354,85.88,43.53
355,85.84,43.54
356,85.80,43.55
357,85.76,43.56
358,85.72,43.57
359,85.68,43.58
360,85.64,43.59
361,85.60,43.60
362,85.56,43.61
363,85.52,43.62
364,85.48,43.63
365,85.44,43.64
366,85.40,43.65
367,85.36,43.66
368,85.32,43.67
